Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,140.119995,141.220001,139.419998,139.440002,706700,138.75955
2015-12-30,141.869995,142.490005,140.759995,140.960007,470400,140.272137
2015-12-29,140.520004,142.279999,140.309998,141.850006,669200,141.157793
2015-12-28,140.279999,140.509995,139.009995,140.029999,481100,139.346668
2015-12-24,140.679993,141.490005,140.449997,140.559998,357500,139.87408
2015-12-23,140.470001,141.080002,139.580002,140.509995,901700,139.824321
2015-12-22,140.100006,140.880005,138.00,140.190002,1780400,139.50589
2015-12-21,138.100006,140.619995,137.699997,139.529999,1393800,138.849107
2015-12-18,139.00,139.830002,137.75,137.75,1934800,137.077795
2015-12-17,137.699997,140.490005,137.259995,139.009995,1631800,138.331641
2015-12-16,136.309998,138.119995,135.539993,137.779999,1459700,137.107647
2015-12-15,136.229996,137.300003,134.029999,135.020004,1528900,134.361121
2015-12-14,136.229996,137.00,134.160004,135.529999,1356800,134.868627
2015-12-11,134.00,137.479996,133.149994,135.779999,2629000,135.117407
2015-12-10,132.029999,135.199997,131.330002,134.839996,1687000,134.181992
2015-12-09,130.800003,133.960007,130.460007,132.460007,2050700,131.813616
2015-12-08,132.00,133.449997,130.550003,131.600006,3459400,130.957812
2015-12-07,133.520004,133.520004,131.139999,132.779999,1970700,132.132047
2015-12-04,129.410004,133.179993,129.279999,132.75,1551000,132.102194
2015-12-03,132.779999,133.809998,129.039993,129.429993,2837600,128.798388
2015-12-02,135.380005,137.139999,132.449997,132.919998,5880500,132.271363
2015-12-01,131.110001,135.990005,130.320007,135.820007,2276900,134.535275
2015-11-30,131.220001,131.580002,130.100006,130.380005,2315600,129.14673
2015-11-27,131.600006,132.289993,130.169998,131.220001,554900,129.978781
2015-11-25,131.50,131.820007,130.320007,131.00,1641100,129.760861
2015-11-24,130.809998,131.880005,129.759995,131.630005,2029000,130.384906
2015-11-23,131.669998,133.919998,131.029999,131.130005,1511100,129.889636
2015-11-20,128.169998,132.00,128.029999,131.289993,2765600,130.048111
2015-11-19,130.520004,131.990005,126.25,127.860001,5775100,126.650563
2015-11-18,136.300003,137.660004,134.649994,137.300003,1800000,136.001272
2015-11-17,134.679993,138.199997,134.050003,136.25,1533800,134.961201
2015-11-16,132.759995,135.270004,132.759995,135.059998,1027900,133.782454
2015-11-13,133.320007,134.50,132.00,132.550003,1784900,131.296202
2015-11-12,134.360001,135.699997,133.259995,133.429993,1751000,132.167868
2015-11-11,136.020004,136.020004,133.949997,134.190002,1751200,132.920689
2015-11-10,133.770004,135.910004,133.539993,135.270004,1320600,133.990475
2015-11-09,133.490005,134.309998,131.949997,133.770004,2552400,132.504663
2015-11-06,134.979996,135.839996,132.460007,133.979996,2073900,132.712668
2015-11-05,135.509995,136.440002,133.789993,136.039993,1847200,134.75318
2015-11-04,138.00,138.039993,133.089996,135.339996,3192100,134.059805
2015-11-03,139.100006,140.169998,135.529999,137.050003,1982100,135.753636
2015-11-02,139.00,140.520004,137.720001,139.860001,1802500,138.537054
2015-10-30,141.919998,141.919998,139.029999,139.149994,2132600,137.833763
2015-10-29,140.850006,142.710007,140.399994,141.339996,2397800,140.00305
2015-10-28,141.00,144.979996,134.740005,141.800003,5090900,140.458706
2015-10-27,141.330002,146.100006,141.330002,144.690002,2728200,143.321368
2015-10-26,140.960007,142.339996,139.539993,141.740005,1991800,140.399276
2015-10-23,140.080002,143.279999,139.279999,140.949997,3150500,139.61674
2015-10-22,142.25,143.139999,135.240005,139.410004,5605600,138.091314
2015-10-21,149.309998,149.380005,138.75,142.789993,3640000,141.439332
2015-10-20,148.979996,149.50,147.440002,148.240005,945500,146.837792
2015-10-19,146.350006,149.369995,146.350006,148.809998,1308000,147.402392
